question_id,article_id,content_hash,passage_title,question_preview,score,status,passed_total,failed_checks,run_id,clarity_precision,difficulty_assessment,grammatical_parallel,homogeneity,length_check,passage_reference,plausibility,single_correct_answer,specificity_balance,standard_alignment,too_close
quiz_302090_sibling_4,article_101011,662f072df8e4,"The Open Road, Part IV",Based on the way Toad talks about motor cars and his acti...,82%,✅,9/11,"length_check, standard_alignment",20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,❌,✅
quiz_302091,article_101011,f6184498efb8,"The Open Road, Part IV",PART B: Based on the different points of view shown in th...,91%,✅,10/11,difficulty_assessment,20260112_125710,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302091_sibling_1,article_101011,4b0f5a820db2,"The Open Road, Part IV",The story shows Rat becoming increasingly frustrated with...,91%,✅,10/11,difficulty_assessment,20260112_125710,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302091_sibling_2,article_101011,4c734e947ee5,"The Open Road, Part IV",How do Toad's own words in the story reveal that his view...,64%,❌,7/11,"grammatical_parallel, length_check, specificity_balance, standard_alignment",20260112_125710,✅,✅,❌,✅,❌,✅,✅,✅,❌,❌,✅
quiz_302091_sibling_3,article_101011,e2603efde428,"The Open Road, Part IV","Based on evidence throughout the story, what can you conc...",82%,✅,9/11,"length_check, standard_alignment",20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,❌,✅
quiz_302091_sibling_4,article_101011,8756a8f52d7e,"The Open Road, Part IV","When Rat says he is 'done with' Toad, what does this reve...",91%,✅,10/11,difficulty_assessment,20260112_125710,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302096,article_101012,359fb7d1e2f3,Classifying Living Things,"In section 2, the word 'adapt' means",100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302096_sibling_1,article_101012,341530179542,Classifying Living Things,"In section 1, what does the word 'characteristics' mean?",100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302096_sibling_2,article_101012,2e0a90cd6fac,Classifying Living Things,"Based on section 3, what does the phrase 'go in different...",100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302096_sibling_3,article_101012,e3f968e48d6f,Classifying Living Things,"According to section 2, what does it mean when the passag...",100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302096_sibling_4,article_101012,1158e0c3b913,Classifying Living Things,"In section 3, what does the word 'kingdoms' refer to?",91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302097,article_101012,faffd255722c,Classifying Living Things,What is the author's main purpose in organizing the passa...,91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302097_sibling_1,article_101012,32d4b6eb31ca,Classifying Living Things,Why does the author organize the passage by first explain...,91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302097_sibling_2,article_101012,22058f5018a6,Classifying Living Things,"Based on the entire passage, what main idea does the auth...",82%,✅,9/11,"length_check, specificity_balance",20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,❌,✅,✅
quiz_302097_sibling_3,article_101012,3a5a8e196b33,Classifying Living Things,"What key idea do the details about making energy, having...",100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302097_sibling_4,article_101012,9fd10de3acdf,Classifying Living Things,How does the information about polar bears and cacti in s...,82%,✅,9/11,"plausibility, standard_alignment",20260112_125710,✅,✅,✅,✅,✅,✅,❌,✅,✅,❌,✅
quiz_302098,article_101012,769f0080f78f,Classifying Living Things,What does the information in the passage show is true abo...,73%,❌,8/11,"plausibility, specificity_balance, standard_alignment",20260112_125710,✅,✅,✅,✅,✅,✅,❌,✅,❌,❌,✅
quiz_302098_sibling_1,article_101012,ebb41c6225e2,Classifying Living Things,"Based on the information in section 4, what can you concl...",82%,✅,9/11,"difficulty_assessment, standard_alignment",20260112_125710,✅,❌,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302098_sibling_2,article_101012,f12fbf763087,Classifying Living Things,What does the information in section 1 demonstrate about...,64%,❌,7/11,"homogeneity, plausibility, specificity_balance, standard_alignment",20260112_125710,✅,✅,✅,❌,✅,✅,❌,✅,❌,❌,✅
quiz_302098_sibling_3,article_101012,ff07c5cffa2a,Classifying Living Things,"According to sections 2 and 3, what does the passage show...",91%,✅,10/11,standard_alignment,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302098_sibling_4,article_101012,255a40fdc384,Classifying Living Things,What does the passage suggest about why classifying livin...,82%,✅,9/11,"plausibility, standard_alignment",20260112_125710,✅,✅,✅,✅,✅,✅,❌,✅,✅,❌,✅
quiz_302099,article_101012,0efdc260dd9e,Classifying Living Things,What does the information in Section 4 suggest about scie...,82%,✅,9/11,"difficulty_assessment, standard_alignment",20260112_125710,✅,❌,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302099_sibling_1,article_101012,5c994c45cdb6,Classifying Living Things,"Based on the information throughout the passage, how does...",64%,❌,7/11,"homogeneity, plausibility, specificity_balance, standard_alignment",20260112_125710,✅,✅,✅,❌,✅,✅,❌,✅,❌,❌,✅
quiz_302099_sibling_2,article_101012,bd34a786fc03,Classifying Living Things,"In section 3, what logical connection does the author mak...",91%,✅,10/11,plausibility,20260112_125710,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302099_sibling_3,article_101012,a3c64cd86dee,Classifying Living Things,How do the sentences about scientists finding 1 million a...,73%,❌,8/11,"difficulty_assessment, homogeneity, plausibility",20260112_125710,✅,❌,✅,❌,✅,✅,❌,✅,✅,✅,✅
quiz_302099_sibling_4,article_101012,0bb76b4118bb,Classifying Living Things,What does the relationship between sections 3 and 4 sugge...,82%,✅,9/11,"difficulty_assessment, plausibility",20260112_125710,✅,❌,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302104,article_101013,5ed42b33f2a5,Warm-Blooded and Cold-Blooded Animals,Which phrase best describes the main topic of this article?,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302104_sibling_1,article_101013,ae200249a1b6,Warm-Blooded and Cold-Blooded Animals,What is the central focus of the information Rattenboroug...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302104_sibling_2,article_101013,8a2c0929a38f,Warm-Blooded and Cold-Blooded Animals,"According to the passage, which detail best supports that...",64%,❌,7/11,"grammatical_parallel, passage_reference, plausibility, specificity_balance",20260112_125710,✅,✅,❌,✅,✅,❌,❌,✅,❌,✅,✅
quiz_302104_sibling_3,article_101013,f963a8932af0,Warm-Blooded and Cold-Blooded Animals,Why does the author include information about both mammal...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302104_sibling_4,article_101013,2dfd9fcb9aaa,Warm-Blooded and Cold-Blooded Animals,"Based on the passage, what is the most important idea the...",100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302105,article_101013,4682ca8cd720,Warm-Blooded and Cold-Blooded Animals,How does the author mostly present the information about...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302105_sibling_1,article_101013,cb72abf8b957,Warm-Blooded and Cold-Blooded Animals,What organizational pattern does the author use in the se...,91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302105_sibling_2,article_101013,6b81d00c9228,Warm-Blooded and Cold-Blooded Animals,How does the author connect the information in paragraph...,91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302105_sibling_3,article_101013,646912de37aa,Warm-Blooded and Cold-Blooded Animals,Why does the author include specific examples like 'shive...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302105_sibling_4,article_101013,69d5da796586,Warm-Blooded and Cold-Blooded Animals,"Based on paragraph 5, what relationship does the author e...",91%,✅,10/11,standard_alignment,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302106,article_101013,1fc96235330e,Warm-Blooded and Cold-Blooded Animals,"PART A: According to the passage, how do warm-blooded ani...",91%,✅,10/11,standard_alignment,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302106_sibling_1,article_101013,0ee951a0b083,Warm-Blooded and Cold-Blooded Animals,"In paragraph 2, what does the phrase 'give birth to live...",91%,✅,10/11,plausibility,20260112_125710,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302106_sibling_2,article_101013,5c1d6b35ba6f,Warm-Blooded and Cold-Blooded Animals,"According to paragraph 3, what does 'use energy from food...",91%,✅,10/11,difficulty_assessment,20260112_125710,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302106_sibling_3,article_101013,ef8a70e9e1e6,Warm-Blooded and Cold-Blooded Animals,"Based on the information in paragraph 4, what does the wo...",91%,✅,10/11,grammatical_parallel,20260112_125710,✅,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302106_sibling_4,article_101013,f79075ac6e7f,Warm-Blooded and Cold-Blooded Animals,What does the phrase 'their bodies work differently' in p...,91%,✅,10/11,difficulty_assessment,20260112_125710,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302107,article_101013,45b6aca3b0a7,Warm-Blooded and Cold-Blooded Animals,"PART B: How does understanding the difference between ""wa...",55%,❌,6/11,"difficulty_assessment, grammatical_parallel, homogeneity, plausibility, standard_alignment",20260112_125710,✅,❌,❌,❌,✅,✅,❌,✅,✅,❌,✅
quiz_302107_sibling_1,article_101013,7af4a2671315,Warm-Blooded and Cold-Blooded Animals,"In paragraph 5, how does understanding that cold-blooded...",82%,✅,9/11,"homogeneity, plausibility",20260112_125710,✅,✅,✅,❌,✅,✅,❌,✅,✅,✅,✅
quiz_302107_sibling_2,article_101013,af7ee6ead8c0,Warm-Blooded and Cold-Blooded Animals,"According to paragraph 5, what does the statement 'Cold-b...",73%,❌,8/11,"homogeneity, length_check, plausibility",20260112_125710,✅,✅,✅,❌,❌,✅,❌,✅,✅,✅,✅
quiz_302107_sibling_3,article_101013,2b12cfea83d6,Warm-Blooded and Cold-Blooded Animals,How does the author use the contrast between mammals and...,73%,❌,8/11,"difficulty_assessment, plausibility, standard_alignment",20260112_125710,✅,❌,✅,✅,✅,✅,❌,✅,✅,❌,✅
quiz_302107_sibling_4,article_101013,8165cd5c7414,Warm-Blooded and Cold-Blooded Animals,"Based on the entire passage, why does the author provide...",82%,✅,9/11,"plausibility, standard_alignment",20260112_125710,✅,✅,✅,✅,✅,✅,❌,✅,✅,❌,✅
quiz_302111,article_101014,00b66af6ba91,Vertebrate or Invertebrate?,Why do scientists study whether animals have a backbone?,73%,❌,8/11,"homogeneity, length_check, plausibility",20260112_125710,✅,✅,✅,❌,❌,✅,❌,✅,✅,✅,✅
quiz_302111_sibling_1,article_101014,8491093d341c,Vertebrate or Invertebrate?,"According to the passage, what do all mammals, reptiles,...",91%,✅,10/11,plausibility,20260112_125710,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302111_sibling_2,article_101014,95cff7a9e41d,Vertebrate or Invertebrate?,"Based on the passage, how does the spinal cord help your...",91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302111_sibling_3,article_101014,2f4f28ab899a,Vertebrate or Invertebrate?,Which detail from the passage shows that invertebrates ca...,82%,✅,9/11,"grammatical_parallel, length_check",20260112_125710,✅,✅,❌,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302111_sibling_4,article_101014,7a3688c18c39,Vertebrate or Invertebrate?,What information does the author give right after explain...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302112,article_101014,6eb7bc4c7826,Vertebrate or Invertebrate?,Why does the author have readers touch their neck and bac...,91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302112_sibling_1,article_101014,e126ace118f6,Vertebrate or Invertebrate?,What is the main reason the author tells readers to put t...,91%,✅,10/11,standard_alignment,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302112_sibling_2,article_101014,471bae54f644,Vertebrate or Invertebrate?,"In the first paragraph, why does the author mention that...",100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302112_sibling_3,article_101014,d09a45f0050d,Vertebrate or Invertebrate?,Why does the author describe the spinal cord as 'like a b...,91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302112_sibling_4,article_101014,006472ddde08,Vertebrate or Invertebrate?,"Based on the second paragraph, what would most likely hap...",82%,✅,9/11,"plausibility, standard_alignment",20260112_125710,✅,✅,✅,✅,✅,✅,❌,✅,✅,❌,✅
quiz_302113,article_101014,dc9660706aa7,Vertebrate or Invertebrate?,The paragraph that begins with 'Your backbone or spine do...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302113_sibling_1,article_101014,45f5b61898e3,Vertebrate or Invertebrate?,The paragraph that begins 'But many animals do not have a...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302113_sibling_2,article_101014,136e493bbeb3,Vertebrate or Invertebrate?,What is the main idea of the paragraph that begins 'Many...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302113_sibling_3,article_101014,41e60467ca28,Vertebrate or Invertebrate?,The first paragraph is mainly about,91%,✅,10/11,too_close,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌
quiz_302113_sibling_4,article_101014,f0b7580f670e,Vertebrate or Invertebrate?,Which detail best supports the main idea that vertebrates...,73%,❌,8/11,"grammatical_parallel, length_check, specificity_balance",20260112_125710,✅,✅,❌,✅,❌,✅,✅,✅,❌,✅,✅
quiz_302114,article_101014,377eb0bafbbb,Vertebrate or Invertebrate?,The final section of the passage gives readers informatio...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302114_sibling_1,article_101014,8d5cd16335d3,Vertebrate or Invertebrate?,"Based on the passage, what do the giant octopus and tiny...",64%,❌,7/11,"length_check, plausibility, single_correct_answer, standard_alignment",20260112_125710,✅,✅,✅,✅,❌,✅,❌,❌,✅,❌,✅
quiz_302114_sibling_2,article_101014,46633bad1826,Vertebrate or Invertebrate?,"According to the third paragraph, what do all the animals...",82%,✅,9/11,"plausibility, standard_alignment",20260112_125710,✅,✅,✅,✅,✅,✅,❌,✅,✅,❌,✅
quiz_302114_sibling_3,article_101014,eaa774bb83f4,Vertebrate or Invertebrate?,The final section of the passage helps readers understand,91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302114_sibling_4,article_101014,f2d8d0b91ef3,Vertebrate or Invertebrate?,How does the organization of the passage help readers und...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302119,article_101015,7703d4224689,Fish,Which fact about salmon is clear from the information in...,64%,❌,7/11,"difficulty_assessment, length_check, plausibility, standard_alignment",20260112_125710,✅,❌,✅,✅,❌,✅,❌,✅,✅,❌,✅
quiz_302119_sibling_1,article_101015,c687e7bff3d6,Fish,"Based on the passage, what do fish use their gills for?",91%,✅,10/11,standard_alignment,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302119_sibling_2,article_101015,8f88c229adb2,Fish,"According to the text, why can't fish close their eyes wh...",91%,✅,10/11,standard_alignment,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302119_sibling_3,article_101015,1706622643cc,Fish,Which detail from the passage shows that fish are found i...,73%,❌,8/11,"homogeneity, plausibility, standard_alignment",20260112_125710,✅,✅,✅,❌,✅,✅,❌,✅,✅,❌,✅
quiz_302119_sibling_4,article_101015,eeab0411c78b,Fish,How does the passage show that fish bodies are different...,82%,✅,9/11,"plausibility, standard_alignment",20260112_125710,✅,✅,✅,✅,✅,✅,❌,✅,✅,❌,✅
quiz_302120,article_101015,80c25997ea2b,Fish,The passage was most likely written to,91%,✅,10/11,specificity_balance,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅,✅
quiz_302120_sibling_1,article_101015,1ca561d30aa1,Fish,What is the main purpose of the entire passage about fish?,91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302120_sibling_2,article_101015,85345511fa0c,Fish,The author most likely included information about grizzly...,91%,✅,10/11,difficulty_assessment,20260112_125710,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302120_sibling_3,article_101015,d422f8151bb8,Fish,Which key detail best supports the main idea that fish ha...,91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302120_sibling_4,article_101015,00d20db28a1f,Fish,"Based on the passage, what main idea does the section abo...",91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302121,article_101015,8b305b5c511b,Fish,Which step occurs after salmon swim to the ocean?,82%,✅,9/11,"difficulty_assessment, standard_alignment",20260112_125710,✅,❌,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302121_sibling_1,article_101015,db25d9b5ea38,Fish,The author develops the main idea that fish are adapted t...,82%,✅,9/11,"difficulty_assessment, standard_alignment",20260112_125710,✅,❌,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302121_sibling_2,article_101015,4a4700e9b5c3,Fish,Which statement best describes how the details in the las...,82%,✅,9/11,"length_check, plausibility",20260112_125710,✅,✅,✅,✅,❌,✅,❌,✅,✅,✅,✅
quiz_302121_sibling_3,article_101015,6fc15698c578,Fish,Why does the passage explain that fish cannot breathe air...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302121_sibling_4,article_101015,9a117adf46db,Fish,"Based on the passage, what happens as a result of fish ha...",91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302122,article_101015,2ba23879a0c2,Fish,This question is connected to the next question you will...,73%,❌,8/11,"clarity_precision, passage_reference, plausibility",20260112_125710,❌,✅,✅,✅,✅,❌,❌,✅,✅,✅,✅
quiz_302122_sibling_1,article_101015,fc105013aaba,Fish,The passage organizes information about salmon by first e...,82%,✅,9/11,"clarity_precision, plausibility",20260112_125710,❌,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302122_sibling_2,article_101015,a9da75a72fc0,Fish,Which sentence from the passage shows a cause and effect...,73%,❌,8/11,"difficulty_assessment, grammatical_parallel, length_check",20260112_125710,✅,❌,❌,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302122_sibling_3,article_101015,e030b010faa7,Fish,If a student wanted to learn about how fish protect thems...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302122_sibling_4,article_101015,8f449f455144,Fish,A student researching 'how fish move through water' would...,91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302123,article_101015,5516eacc970b,Fish,"PART B: Based on your answer to Part A, what would be the...",73%,❌,8/11,"clarity_precision, single_correct_answer, standard_alignment",20260112_125710,❌,✅,✅,✅,✅,✅,✅,❌,✅,❌,✅
quiz_302123_sibling_1,article_101015,b80e3022a5b6,Fish,If a reader wants to understand where fish get the oxygen...,82%,✅,9/11,"clarity_precision, passage_reference",20260112_125710,❌,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅
quiz_302123_sibling_2,article_101015,a2c93aa62c17,Fish,Which bold word would help a student most quickly find in...,73%,❌,8/11,"clarity_precision, passage_reference, standard_alignment",20260112_125710,❌,✅,✅,✅,✅,❌,✅,✅,✅,❌,✅
quiz_302123_sibling_3,article_101015,9f914ea3b64f,Fish,"Based on the passage structure, what is the most effectiv...",91%,✅,10/11,plausibility,20260112_125710,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302123_sibling_4,article_101015,1fd144284d8c,Fish,When using text features to research multiple aspects of...,73%,❌,8/11,"difficulty_assessment, plausibility, standard_alignment",20260112_125710,✅,❌,✅,✅,✅,✅,❌,✅,✅,❌,✅
quiz_302128,article_101016,a3f42736d208,Amphibians,"According to the passage, the changes in a tadpole's body...",100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302128_sibling_1,article_101016,35d1a7be4fa8,Amphibians,How does hibernating help amphibians survive winter?,73%,❌,8/11,"homogeneity, length_check, plausibility",20260112_125710,✅,✅,✅,❌,❌,✅,❌,✅,✅,✅,✅
quiz_302128_sibling_2,article_101016,687514789e8a,Amphibians,Why do toad eggs need to stay near the shore?,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302128_sibling_3,article_101016,e657fcde782f,Amphibians,What must happen before a tadpole can grow legs?,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302128_sibling_4,article_101016,e23643e20446,Amphibians,"Based on the passage, what happens because tadpoles stay...",100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302129,article_101016,9863b2ed110f,Amphibians,Why does the author explain that the word 'amphibian' com...,100%,✅,11/11,,20260112_125710,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302129_sibling_1,article_101016,cea487d4cbb5,Amphibians,Why does the author include the information about amphibi...,91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302129_sibling_2,article_101016,c02abc19fcf8,Amphibians,The author explains that adult amphibians are carnivores...,73%,❌,8/11,"difficulty_assessment, plausibility, standard_alignment",20260112_125710,✅,❌,✅,✅,✅,✅,❌,✅,✅,❌,✅
quiz_302129_sibling_3,article_101016,36d7eb5ab61e,Amphibians,What does the phrase 'both sides of life' help readers un...,91%,✅,10/11,length_check,20260112_125710,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
