question_id,score,status,passed,total,batch_result,clarity_precision,difficulty_assessment,grammatical_parallel,homogeneity,length_check,passage_reference,plausibility,single_correct_answer,specificity_balance,standard_alignment,too_close
quiz_302014_sibling_1,100%,✅,11,11,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302014_sibling_2,100%,✅,11,11,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302014_sibling_3,64%,❌,7,11,succeeded,❌,✅,✅,✅,❌,✅,✅,❌,✅,❌,✅
quiz_302014_sibling_4,55%,❌,6,11,succeeded,❌,✅,✅,✅,❌,✅,❌,❌,✅,❌,✅
quiz_302015,73%,✅,8,11,succeeded,✅,✅,✅,❌,✅,✅,❌,✅,✅,❌,✅
quiz_302015_sibling_1,82%,✅,9,11,succeeded,✅,❌,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302015_sibling_2,91%,✅,10,11,succeeded,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302015_sibling_3,73%,✅,8,11,succeeded,✅,✅,✅,✅,❌,✅,❌,❌,✅,✅,✅
quiz_302015_sibling_4,73%,✅,8,11,succeeded,✅,✅,✅,❌,✅,✅,❌,✅,✅,❌,✅
quiz_302016,82%,✅,9,11,succeeded,✅,✅,✅,✅,❌,✅,❌,✅,✅,✅,✅
quiz_302016_sibling_1,100%,✅,11,11,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302016_sibling_2,100%,✅,11,11,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302016_sibling_3,100%,✅,11,11,succeeded,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302016_sibling_4,82%,✅,9,11,succeeded,✅,❌,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302021,89%,✅,8,9,succeeded,✅,❌,✅,✅,✅,✅,❌,✅,✅,✅,❌
quiz_302021_sibling_1,89%,✅,8,9,succeeded,✅,❌,✅,✅,✅,✅,❌,✅,✅,✅,❌
quiz_302021_sibling_2,89%,✅,8,9,succeeded,✅,❌,✅,✅,✅,✅,❌,✅,✅,✅,❌
quiz_302021_sibling_3,89%,✅,8,9,succeeded,✅,❌,✅,✅,❌,✅,✅,✅,✅,✅,❌
quiz_302021_sibling_4,100%,✅,9,9,succeeded,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,❌
quiz_302022,78%,✅,7,9,succeeded,✅,❌,❌,✅,❌,✅,✅,✅,✅,✅,❌
quiz_302022_sibling_1,100%,✅,9,9,succeeded,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,❌
quiz_302022_sibling_2,100%,✅,9,9,succeeded,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,❌
quiz_302022_sibling_3,100%,✅,9,9,succeeded,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,❌
quiz_302022_sibling_4,89%,✅,8,9,succeeded,✅,❌,✅,✅,✅,✅,❌,✅,✅,✅,❌
quiz_302023,78%,✅,7,9,succeeded,✅,❌,❌,✅,✅,✅,❌,✅,✅,✅,❌
quiz_302023_sibling_1,89%,✅,8,9,succeeded,✅,❌,❌,✅,✅,✅,✅,✅,✅,✅,❌
quiz_302023_sibling_2,78%,✅,7,9,succeeded,✅,❌,✅,✅,❌,✅,❌,✅,✅,✅,❌
quiz_302023_sibling_3,78%,✅,7,9,succeeded,✅,❌,✅,✅,❌,✅,❌,✅,✅,✅,❌
quiz_302023_sibling_4,89%,✅,8,9,succeeded,✅,❌,✅,✅,✅,✅,❌,✅,✅,✅,❌
quiz_302024,56%,❌,5,9,succeeded,✅,❌,✅,❌,❌,✅,❌,✅,❌,✅,❌
quiz_302024_sibling_1,100%,✅,9,9,succeeded,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,❌
quiz_302024_sibling_2,100%,✅,9,9,succeeded,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,❌
quiz_302024_sibling_3,100%,✅,9,9,succeeded,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,❌
quiz_302024_sibling_4,89%,✅,8,9,succeeded,✅,❌,✅,✅,✅,✅,❌,✅,✅,✅,❌
quiz_302037,89%,✅,8,9,succeeded,✅,❌,✅,✅,✅,✅,✅,❌,✅,✅,❌
quiz_302037_sibling_1,78%,✅,7,9,succeeded,❌,❌,✅,✅,✅,✅,✅,❌,✅,✅,❌
quiz_302037_sibling_2,100%,✅,9,9,succeeded,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,❌
quiz_302037_sibling_3,100%,✅,9,9,succeeded,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,❌
quiz_302037_sibling_4,67%,❌,6,9,succeeded,❌,❌,✅,✅,✅,✅,❌,❌,✅,✅,❌
quiz_302038,89%,✅,8,9,succeeded,✅,❌,✅,✅,✅,✅,✅,✅,✅,❌,❌
quiz_302038_sibling_1,78%,✅,7,9,succeeded,✅,❌,✅,✅,❌,✅,✅,✅,✅,❌,❌
quiz_302038_sibling_2,44%,❌,4,9,succeeded,❌,❌,✅,✅,❌,✅,❌,❌,✅,❌,❌
quiz_302038_sibling_3,78%,✅,7,9,succeeded,❌,❌,✅,✅,✅,✅,✅,✅,✅,❌,❌
quiz_302038_sibling_4,89%,✅,8,9,succeeded,✅,❌,✅,✅,✅,✅,✅,✅,✅,❌,❌
quiz_302039,78%,✅,7,9,succeeded,✅,❌,✅,✅,✅,✅,❌,✅,✅,❌,❌
quiz_302039_sibling_1,67%,❌,6,9,succeeded,✅,❌,✅,✅,❌,✅,❌,✅,✅,❌,❌
quiz_302039_sibling_2,89%,✅,8,9,succeeded,✅,❌,✅,✅,✅,✅,✅,✅,✅,❌,❌
quiz_302039_sibling_3,78%,✅,7,9,succeeded,✅,❌,✅,✅,❌,✅,✅,✅,✅,❌,❌
quiz_302039_sibling_4,78%,✅,7,9,succeeded,✅,❌,✅,✅,✅,✅,❌,✅,✅,❌,❌
quiz_302040,89%,✅,8,9,succeeded,✅,❌,✅,✅,❌,✅,✅,✅,✅,✅,❌
quiz_302040_sibling_1,89%,✅,8,9,succeeded,✅,❌,✅,✅,✅,✅,❌,✅,✅,✅,❌
quiz_302040_sibling_2,100%,✅,9,9,succeeded,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,❌
quiz_302040_sibling_3,100%,✅,9,9,succeeded,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,❌
quiz_302040_sibling_4,89%,✅,8,9,succeeded,✅,❌,✅,✅,❌,✅,✅,✅,✅,✅,❌
quiz_302041,67%,❌,6,9,succeeded,✅,❌,✅,✅,❌,✅,❌,✅,✅,❌,❌
quiz_302041_sibling_1,78%,✅,7,9,succeeded,✅,❌,✅,✅,❌,✅,✅,✅,✅,❌,❌
quiz_302041_sibling_2,67%,❌,6,9,succeeded,✅,❌,✅,✅,❌,✅,✅,❌,✅,❌,❌
quiz_302041_sibling_3,89%,✅,8,9,succeeded,✅,❌,✅,✅,✅,✅,✅,✅,✅,❌,❌
quiz_302041_sibling_4,67%,❌,6,9,succeeded,✅,❌,❌,❌,✅,✅,❌,✅,✅,✅,❌
