question_id,score,status,passed,total,actionable_strategy,conciseness,correct_guidance,correctness_explanation,grade_appropriateness,misconception_diagnosis,reasoning_model,skill_reinforcement,specific_error,textual_evidence,textual_refutation,tone
quiz_302006_sibling_4,50%,❌,3,6,❌,✅,❌,❌,❌,❌,❌,✅,❌,❌,❌,✅
quiz_302006_sibling_4,67%,❌,6,9,❌,✅,✅,❌,❌,✅,✅,❌,✅,❌,❌,✅
quiz_302006_sibling_4,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302007,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302007,100%,✅,6,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,✅
quiz_302007,89%,✅,8,9,✅,❌,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302007,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302007_sibling_1,83%,✅,5,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,❌,❌,✅
quiz_302007_sibling_1,78%,✅,7,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,❌,✅
quiz_302007_sibling_1,78%,✅,7,9,❌,✅,❌,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302007_sibling_1,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302007_sibling_2,100%,✅,6,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,✅
quiz_302007_sibling_2,78%,✅,7,9,❌,✅,✅,❌,✅,❌,✅,❌,✅,❌,✅,✅
quiz_302007_sibling_2,78%,✅,7,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,❌,✅
quiz_302007_sibling_2,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302007_sibling_3,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302007_sibling_3,78%,✅,7,9,❌,✅,✅,❌,✅,❌,✅,❌,✅,❌,✅,✅
quiz_302007_sibling_3,100%,✅,6,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,✅
quiz_302007_sibling_3,67%,❌,6,9,❌,❌,✅,❌,✅,❌,✅,❌,✅,❌,✅,✅
quiz_302007_sibling_4,100%,✅,6,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,✅
quiz_302007_sibling_4,78%,✅,7,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,❌,✅
quiz_302007_sibling_4,78%,✅,7,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,❌,✅
quiz_302007_sibling_4,67%,❌,6,9,❌,✅,✅,❌,✅,❌,✅,❌,✅,❌,❌,✅
quiz_302008,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302008,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302008,100%,✅,6,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,✅
quiz_302008,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302008_sibling_1,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302008_sibling_1,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302008_sibling_1,100%,✅,6,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,✅
quiz_302008_sibling_1,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302008_sibling_2,83%,✅,5,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,❌,❌,✅
quiz_302008_sibling_2,67%,❌,6,9,❌,✅,✅,❌,✅,❌,✅,❌,✅,❌,❌,✅
quiz_302008_sibling_2,67%,❌,6,9,❌,✅,✅,❌,✅,❌,✅,❌,✅,❌,❌,✅
quiz_302008_sibling_2,67%,❌,6,9,❌,❌,✅,❌,❌,✅,✅,❌,✅,❌,✅,✅
quiz_302008_sibling_3,83%,✅,5,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,❌,❌,✅
quiz_302008_sibling_3,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302008_sibling_3,78%,✅,7,9,❌,✅,✅,❌,✅,❌,✅,❌,✅,❌,✅,✅
quiz_302008_sibling_3,78%,✅,7,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,❌,✅
quiz_302008_sibling_4,67%,❌,6,9,❌,✅,✅,❌,✅,❌,✅,❌,✅,❌,❌,✅
quiz_302008_sibling_4,100%,✅,6,6,❌,✅,❌,✅,✅,❌,❌,✅,❌,✅,❌,✅
quiz_302008_sibling_4,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302008_sibling_4,56%,❌,5,9,❌,✅,❌,❌,✅,❌,✅,❌,✅,❌,❌,✅
