course,title,article_id
Core Knowledge Grade 4/4,Sir Gawaine on the Quest,article_102036
Core Knowledge Grade 4/4,Sir Percival,article_102037
Core Knowledge Grade 4/4,The Death of Dindrane,article_102038
Core Knowledge Grade 4/4,The Achievement of the Grail,article_102039
Core Knowledge Grade 4/4,Sir Lancelot and the Lily Maid of Astolat,article_102040
Core Knowledge Grade 4/4,The Queen and the Poisoned Apple,article_102041
Core Knowledge Grade 4/4,Sir Meliagraunce,article_102042
Core Knowledge Grade 4/4,The Civil War,article_102043
Core Knowledge Grade 4/4,The Departure of Sir Lancelot,article_102044
Core Knowledge Grade 4/4,The Last Battle and the Death of Arthur,article_102045
Core Knowledge Grade 4/4,The Death of Guenevere and of Sir Lancelot,article_102046
Core Knowledge Grade 4/4,“Clarence” by Shel Silverstein,article_102047
Core Knowledge Grade 4/4,“A Tragic Story” by William Makepeace Thackeray,article_102048
Core Knowledge Grade 4/4,“Things” by Eloise Greenfield,article_102049
Core Knowledge Grade 4/4,“Life Doesn’t Frighten Me” by Maya Angelou,article_102050
Core Knowledge Grade 4/4,“Dreams” by Langston Hughes,article_102051
Core Knowledge Grade 4/4,“Afternoon on a Hill” by Edna St. Vincent,article_102052
Core Knowledge Grade 4/4,“Clouds” by Christina Rossetti,article_102053
Core Knowledge Grade 4/4,“Humanity” by Elma Stuckey,article_102054
Core Knowledge Grade 4/4,“Concord Hymn” by Ralph Waldo Emerson,article_102055
Core Knowledge Grade 4/4,“Paul Revere’s Ride” by Henry Wadsworth Longfellow,article_102056
Core Knowledge Grade 4/4,Earth’s Changing Surface,article_102057
Core Knowledge Grade 4/4,Earth’s Layers and Moving Plates,article_102058
Core Knowledge Grade 4/4,Earth’s Shakes and Quakes,article_102059
Core Knowledge Grade 4/4,Earth’s Fiery Volcanoes,article_102060
Core Knowledge Grade 4/4,Mythic Volcano Spirits,article_102061
Core Knowledge Grade 4/4,Earth’s Building Blocks,article_102062
Core Knowledge Grade 4/4,Earth’s Powerful Forces of Change,article_102063
Core Knowledge Grade 4/4,Earth’s Mighty Mountains,article_102064
Core Knowledge Grade 4/4,Earth’s Undersea World,article_102065
Core Knowledge Grade 4/4,The Rock Towns of Cappadocia,article_102066
Core Knowledge Grade 4/4,Violent Vesuvius,article_102067
Core Knowledge Grade 4/4,A Deep-Sea Detective Story,article_102068
Core Knowledge Grade 4/4,Bills to Pay,article_102069
Core Knowledge Grade 4/4,Trouble Is Brewing,article_102070
Core Knowledge Grade 4/4,The Fight Begins,article_102071
Core Knowledge Grade 4/4,Shots and Speeches,article_102072
Core Knowledge Grade 4/4,It’s War!,article_102073
Core Knowledge Grade 4/4,From Valley Forge to Yorktown,article_102074
Core Knowledge Grade 4/4,Heroes and Villains,article_102075
Core Knowledge Grade 4/4,The Legend of Sleepy Hollow,article_102076
Core Knowledge Grade 4/4,Rip Van Winkle,article_102077
Core Knowledge Grade 4/4,Points of View,article_102078
Core Knowledge Grade 4/4,Artillery Training,article_102079
Core Knowledge Grade 4/4,The Idea of Self-Rule,article_102080
Core Knowledge Grade 4/4,New Constitutions for the States,article_102081
Core Knowledge Grade 4/4,The Articles of Confederation,article_102082
Core Knowledge Grade 4/4,Planning a New Constitution,article_102083
Core Knowledge Grade 4/4,Waiting in Philadelphia,article_102084
Core Knowledge Grade 4/4,Some Major Decisions,article_102085
Core Knowledge Grade 4/4,"Checks, Balances, and Compromises",article_102086
Core Knowledge Grade 4/4,The Convention Completes Its Work,article_102087
Core Knowledge Grade 4/4,The States Ratify,article_102088
Core Knowledge Grade 4/4,Our Constitution Today,article_102089
Core Knowledge Grade 4/4,The Old Seadog and the Black Spot,article_102090
Core Knowledge Grade 4/4,The Sea Chest and the Blind Man,article_102091
Core Knowledge Grade 4/4,The Real Adventure Begins,article_102092
Core Knowledge Grade 4/4,What I Heard in the Apple Barrel,article_102093
Core Knowledge Grade 4/4,The Man on the Island,article_102094
Core Knowledge Grade 4/4,The Plan,article_102095
Core Knowledge Grade 4/4,“Shiver Me Timbers”,article_102096
Core Knowledge Grade 4/4,My Life Hangs in the Balance,article_102097
Core Knowledge Grade 4/4,The Adventure Comes to an End,article_102098
Core Knowledge Grade 5/5,Border Kid,article_103001
Core Knowledge Grade 5/5,Checkpoint,article_103002
Core Knowledge Grade 5/5,Our House,article_103003
Core Knowledge Grade 5/5,Fingers & Keys,article_103004
Core Knowledge Grade 5/5,Lullaby,article_103005
Core Knowledge Grade 5/5,Learning to Read,article_103006
Core Knowledge Grade 5/5,Nagual,article_103007
Core Knowledge Grade 5/5,First Day of Seventh Grade,article_103008
Core Knowledge Grade 5/5,"Los Bobbys, or the Bookworm Squad",article_103009
Core Knowledge Grade 5/5,They Call Me Güero,article_103010
Core Knowledge Grade 5/5,Ms. Wong & the Rabbit,article_103011
Core Knowledge Grade 5/5,Trickster,article_103012
Core Knowledge Grade 5/5,Records,article_103013
Core Knowledge Grade 5/5,La Mano Pachona,article_103014
Core Knowledge Grade 5/5,The Newcomer,article_103015
Core Knowledge Grade 5/5,Christmas Concrete,article_103016
Core Knowledge Grade 5/5,Uncle Joe's History Lessons,article_103017
Core Knowledge Grade 5/5,Answering the Bully,article_103018
Core Knowledge Grade 5/5,Playoff Game,article_103019
Core Knowledge Grade 5/5,Spanish Birds,article_103020
Core Knowledge Grade 5/5,Mis Otros Abuelos,article_103021
Core Knowledge Grade 5/5,Losing Puchi,article_103022
Core Knowledge Grade 5/5,Carne Asada,article_103023
Core Knowledge Grade 5/5,The Rise of Early American Civilizations,article_103024
Core Knowledge Grade 5/5,Golden Age of the Maya,article_103025
Core Knowledge Grade 5/5,Hidden Secrets in the Rainforest,article_103026
Core Knowledge Grade 5/5,Myths of the Maya,article_103027
Core Knowledge Grade 5/5,Aztec City on the Water’s Edge,article_103028
Core Knowledge Grade 5/5,"Emperors, Gods, and Foreign Invaders",article_103029
Core Knowledge Grade 5/5,Birth of the Inca Empire,article_103030
Core Knowledge Grade 5/5,All Roads Lead to Cuzco,article_103031
Core Knowledge Grade 5/5,Myths of the Aztec and the Inca,article_103032
Core Knowledge Grade 5/5,Knight in Armor,article_103033
Core Knowledge Grade 5/5,Don Quijote Leaves Home,article_103034
Core Knowledge Grade 5/5,The Price of Meddling,article_103035
Core Knowledge Grade 5/5,Don Quixote and Sancho Panza Have Some Strange Adventures,article_103036
Core Knowledge Grade 5/5,More Strange Adventures,article_103037
Core Knowledge Grade 5/5,Back to La Mancha,article_103038
Core Knowledge Grade 5/5,Don Quixote Learns He Is Already Famous,article_103039
Core Knowledge Grade 5/5,On the Road Again,article_103040
Core Knowledge Grade 5/5,The Knight of the Wood,article_103041
Core Knowledge Grade 5/5,The Adventure of the Lions,article_103042
Core Knowledge Grade 5/5,The Puppet Show,article_103043
Core Knowledge Grade 5/5,At the Duke’s Palace,article_103044
Core Knowledge Grade 5/5,The Adventure of the Wooden Horse,article_103045
Core Knowledge Grade 5/5,Don Quixote Advises Sancho,article_103046
Core Knowledge Grade 5/5,"Sancho, Governor for Life",article_103047
Core Knowledge Grade 5/5,Danger at the Island,article_103048
Core Knowledge Grade 5/5,Sancho’s Wisest Decision,article_103049
Core Knowledge Grade 5/5,Knight and Squire Reunited,article_103050
Core Knowledge Grade 5/5,The Knight of the White Moon,article_103051
Core Knowledge Grade 5/5,Don Quixote’s Last Illness,article_103052
Core Knowledge Grade 5/5,An Italian Rebirth,article_103053
Core Knowledge Grade 5/5,The Early Renaissance,article_103054
Core Knowledge Grade 5/5,The Spirit of the Renaissance,article_103055
Core Knowledge Grade 5/5,Michelangelo and Raphael,article_103056
Core Knowledge Grade 5/5,The Bankers Who Loved Art,article_103057
Core Knowledge Grade 5/5,"Morals, Modesty, and Manners",article_103058
Core Knowledge Grade 5/5,Women in the Renaissance,article_103059
Core Knowledge Grade 5/5,The Northern Renaissance,article_103060
Core Knowledge Grade 5/5,Popular Prose on Page and Stage,article_103061
Core Knowledge Grade 5/5,"Masses, Dances, and Love Songs: Music in the Renaissance",article_103062
Core Knowledge Grade 5/5,Shakespeare and the Globe,article_103063
Core Knowledge Grade 5/5,"A Midsummer Night’s Dream: A Short Story, Section 1",article_103064
Core Knowledge Grade 5/5,"A Midsummer Night’s Dream: A Short Story, Section 2",article_103065
Core Knowledge Grade 5/5,"A Midsummer Night’s Dream: A Short Story, Section 3",article_103066
Core Knowledge Grade 5/5,"A Midsummer Night’s Dream: A Short Story, Section 4",article_103067
Core Knowledge Grade 5/5,"A Midsummer Night’s Dream: A Short Story, Section 5",article_103068
Core Knowledge Grade 5/5,"A Midsummer Night’s Dream: A Short Story, Section 6",article_103069
Core Knowledge Grade 5/5,"A Midsummer Night’s Dream: A Short Story, Section 7",article_103070
Core Knowledge Grade 5/5,A Midsummer Night's Dream Act 1 Scene 1,article_103071
Core Knowledge Grade 5/5,A Midsummer Night's Dream Act 4,article_103072
Core Knowledge Grade 5/5,The Power of the Printed Word,article_103073
Core Knowledge Grade 5/5,Letters Come Alive!,article_103074
Core Knowledge Grade 5/5,Setting the Stage for Reform,article_103075
Core Knowledge Grade 5/5,The Reformation Movement,article_103076
Core Knowledge Grade 5/5,What Is at the Center of the Universe?,article_103077
Core Knowledge Grade 5/5,The Catholic Church Responds,article_103078
Core Knowledge Grade 5/5,Erasmus and the Reformation,article_103079
Core Knowledge Grade 5/5,Life and Achievements of Copernicus,article_103080
Core Knowledge Grade 5/5,Life and Achievements of Galileo,article_103081
Core Knowledge Grade 5/5,To The Snake by Denise Levertov,article_103082
Core Knowledge Grade 5/5,This Is Just To Say by William Carlos Williams,article_103083
Core Knowledge Grade 5/5,Variations On A Theme By William Carlos Williams by Kenneth Koch,article_103084
Core Knowledge Grade 5/5,When I Heard the Learn'd Astronomer by Walt Whitman,article_103085
Core Knowledge Grade 5/5,The Copper Beech by Marie Howe,article_103086
Core Knowledge Grade 5/5,My Father and the Figtree by Naomi Shihab Nye,article_103087
Core Knowledge Grade 5/5,Dust of Snow by Robert Frost,article_103088
Core Knowledge Grade 5/5,"A Bird, came down the Walk by Emily Dickinson",article_103089
Core Knowledge Grade 5/5,Advice by Dan Gerber,article_103090
Core Knowledge Grade 5/5,Travelling by Simon Ortiz,article_103091
Core Knowledge Grade 5/5,One Art by Elizabeth Bishop,article_103092
Core Knowledge Grade 5/5,Strange Patterns by Carrie Allen McCray,article_103093
Core Knowledge Grade 5/5,Isla by Virgil Suárez,article_103094
Core Knowledge Grade 5/5,Constantly Risking Absurdity (#15) by Lawrence Ferlinghetti,article_103095
Core Knowledge Grade 5/5,The Echoing Green by William Blake,article_103096
Core Knowledge Grade 5/5,A Long and Winding Road,article_103097
Core Knowledge Grade 5/5,Across Mountains and Prairies,article_103098
Core Knowledge Grade 5/5,Tales from the Great Plains,article_103099
Core Knowledge Grade 5/5,The Changing Landscape of California,article_103100
Core Knowledge Grade 5/5,"Rainforests, Rivers, and Ocean",article_103101
Core Knowledge Grade 5/5,Myths from the Pacific Northwest,article_103102
Core Knowledge Grade 5/5,Severing Ties,article_103103
Core Knowledge Grade 5/5,Your Name is Luther,article_103104
Core Knowledge Grade 5/5,Battle of the Little Bighorn,article_103105
Core Knowledge Grade 5/5,The Taking of the Land,article_103106
Core Knowledge Grade 5/5,The Ghost Dance,article_103107
Core Knowledge Grade 5/5,The Navajo Code Talkers,article_103108
Core Knowledge Grade 5/5,Ancestors’ Words,article_103109
Core Knowledge Grade 6/6,The Difficult Path by Grace Lin,article_104001
Core Knowledge Grade 6/6,"Sol Painting, Inc. by Meg Medina",article_104002
Core Knowledge Grade 6/6,Secret Samantha by Tim Federle,article_104003
Core Knowledge Grade 6/6,"Choctaw Bigfoot, Midnight in the Mountains by Tim Tingle",article_104004
Core Knowledge Grade 6/6,Main Street by Jacqueline Woodson,article_104005
Core Knowledge Grade 6/6,Don't Just Sit There Like a Punk by Matt De La Pena,article_104006
Core Knowledge Grade 6/6,Sometimes a Dream Needs a Push by Walter Dean Myers,article_104007
Core Knowledge Grade 6/6,Introduction,article_104008
Core Knowledge Grade 6/6,Chapter 1: Things Made of Paper,article_104009
Core Knowledge Grade 6/6,Chapter 2.1: Levers and Pulleys,article_104010
Core Knowledge Grade 6/6,Chapter 2.2: In the Bag & The Tube,article_104011
Core Knowledge Grade 6/6,Chapter 2.3: Accidents Waiting to Happen,article_104012
Core Knowledge Grade 6/6,Chapter 3.1: A Short History of Glue,article_104013
Core Knowledge Grade 6/6,Chapter 3.2: Paper Chase,article_104014
Core Knowledge Grade 6/6,Chapter 4.1: Things That Fly,article_104015
Core Knowledge Grade 6/6,Chapter 4.2: Airplanes & Trial and Error,article_104016
Core Knowledge Grade 6/6,"Chapter 4.3: It's a Bird, It's a Plane",article_104017
Core Knowledge Grade 6/6,Chapter 5: Optical Illusions,article_104018
Core Knowledge Grade 6/6,Epilogue,article_104019
Core Knowledge Grade 6/6,The Heritage of Ancient Greece and Rome,article_104020
Core Knowledge Grade 6/6,The Ancient Greek City-States,article_104021
Core Knowledge Grade 6/6,Athens,article_104022
Core Knowledge Grade 6/6,Sparta,article_104023
Core Knowledge Grade 6/6,The Golden Age of Athens,article_104024
Core Knowledge Grade 6/6,Greek Philosophy and Socrates,article_104025
Core Knowledge Grade 6/6,Alexander and the Hellenistic Period,article_104026
Core Knowledge Grade 6/6,The Roman Republic,article_104027
Core Knowledge Grade 6/6,Julius Caesar: A Great Roman,article_104028
Core Knowledge Grade 6/6,The Fall of the Roman Empire,article_104029
Core Knowledge Grade 6/6,Introduction to Greek Mythology,article_104030
Core Knowledge Grade 6/6,How the Trojan War Began: The Apple of Discord,article_104031
Core Knowledge Grade 6/6,The League Against Troy,article_104032
Core Knowledge Grade 6/6,The Trojan War Begins,article_104033
Core Knowledge Grade 6/6,The Wrath of Achilles,article_104034
Core Knowledge Grade 6/6,The Combat Between Menelaus and Paris,article_104035
Core Knowledge Grade 6/6,How Hector Bade Farewell to Andromache,article_104036
Core Knowledge Grade 6/6,The Battle on the Plain,article_104037
Core Knowledge Grade 6/6,The Ambassadors to Achilles,article_104038
Core Knowledge Grade 6/6,The Wounding of Hector and the Battle at the Ships,article_104039
Core Knowledge Grade 6/6,How Patroclus Went into Battle,article_104040
Core Knowledge Grade 6/6,The Rousing of Achilles,article_104041
Core Knowledge Grade 6/6,The Making of the Arms,article_104042
Core Knowledge Grade 6/6,How Achilles Avenged the Death of Patroclus,article_104043
Core Knowledge Grade 6/6,Priam's Appeal to Achilles,article_104044
Core Knowledge Grade 6/6,After the Iliad,article_104045
Core Knowledge Grade 6/6,A Visit from a Goddess,article_104046
Core Knowledge Grade 6/6,Telemachus Addresses the Suitors,article_104047
Core Knowledge Grade 6/6,Telemachus Prepares for a Voyage,article_104048
Core Knowledge Grade 6/6,Telemachus Visits Nestor at Pylos,article_104049
Core Knowledge Grade 6/6,Telemachus in Sparta,article_104050
Core Knowledge Grade 6/6,A Mother Fears for Her Son,article_104051
Core Knowledge Grade 6/6,Odysseus and Calypso,article_104052
Core Knowledge Grade 6/6,Odysseus and Nausicaa,article_104053
Core Knowledge Grade 6/6,Odysseus and the Phaeacians,article_104054
Core Knowledge Grade 6/6,Odysseus Begins His Story: The Cyclops,article_104055
Core Knowledge Grade 6/6,Odysseus Continues His Story: Circe the Enchantress,article_104056
Core Knowledge Grade 6/6,Odysseus Continues His Story: Of the Sirens and Other Wonders,article_104057
Core Knowledge Grade 6/6,Odysseus Returns to Ithaca,article_104058
Core Knowledge Grade 6/6,Odysseus and the Swineherd,article_104059
Core Knowledge Grade 6/6,Odysseus and Telemachus,article_104060
Core Knowledge Grade 6/6,The Beggar in the House of Odysseus,article_104061
Core Knowledge Grade 6/6,Penelope and the Stranger,article_104062
Core Knowledge Grade 6/6,The Trial of the Bow and the Revenge of Odysseus,article_104063
Core Knowledge Grade 6/6,Husband and Wife Together,article_104064
Core Knowledge Grade 6/6,Father and Son,article_104065
Core Knowledge Grade 6/6,Introduction,article_104066
Core Knowledge Grade 6/6,Julius Caesar and the End of the Roman Republic: Historical Background,article_104067
Core Knowledge Grade 6/6,Shakespeare and the Globe,article_104068
Core Knowledge Grade 6/6,Julius Caesar and the Ides of March: A Story,article_104069
Core Knowledge Grade 6/6,A Note on Prose and Poetry in Shakespeare,article_104070
Core Knowledge Grade 6/6,"Act 1, Scene 1 Retold",article_104071
Core Knowledge Grade 6/6,"Act 1, Scenes 2 and 3 Retold",article_104072
Core Knowledge Grade 6/6,"Act 2, Scene 1",article_104073
Core Knowledge Grade 6/6,"Act 3, Scene 2",article_104074
Core Knowledge Grade 6/6,"Act 3, Scene 3; Act 4, Scenes 1-2 Retold",article_104075
Core Knowledge Grade 6/6,Act 5 Retold,article_104076
Core Knowledge Grade 6/6,The Cuban Revolution,article_104077
Core Knowledge Grade 6/6,Big Fish,article_104078
Core Knowledge Grade 6/6,Pork Chops,article_104079
Core Knowledge Grade 6/6,Good Homes,article_104080
Core Knowledge Grade 6/6,Alone in Miami,article_104081
Core Knowledge Grade 6/6,The Plan,article_104082
Core Knowledge Grade 6/6,Bad News,article_104083
Core Knowledge Grade 6/6,Gravity Slips,article_104084
Core Knowledge Grade 6/6,Jump,article_104085
Core Knowledge Grade 6/6,Connect-y-cut,article_104086
