question_id,score,status,01_correctness_explanation,02_textual_evidence,03_skill_reinforcement,04_specific_error,05_misconception_diagnosis,06_textual_refutation,07_correct_guidance,08_actionable_strategy,09_reasoning_model,10_tone,11_conciseness,12_grade_appropriateness
quiz_302008_sibling_1,83%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_1,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_1,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_1,89%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_2,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_2,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_2,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_2,89%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_3,83%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_3,89%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_3,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_3,78%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_4,100%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_4,78%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_4,78%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
quiz_302008_sibling_4,89%,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
